2025-10-21 01:42:27 status half-configured libtasn1-6:amd64 4.20.0-2
2025-10-21 01:42:27 status installed libtasn1-6:amd64 4.20.0-2
2025-10-21 01:42:27 configure netbase:all 6.5 <none>
2025-10-21 01:42:27 status unpacked netbase:all 6.5
2025-10-21 01:42:27 status half-configured netbase:all 6.5
2025-10-21 01:42:27 status installed netbase:all 6.5
2025-10-21 01:42:27 configure libkrb5-3:amd64 1.21.3-5 <none>
2025-10-21 01:42:27 status unpacked libkrb5-3:amd64 1.21.3-5
2025-10-21 01:42:27 status half-configured libkrb5-3:amd64 1.21.3-5
2025-10-21 01:42:27 status installed libkrb5-3:amd64 1.21.3-5
2025-10-21 01:42:27 configure libssh2-1t64:amd64 1.11.1-1 <none>
2025-10-21 01:42:27 status unpacked libssh2-1t64:amd64 1.11.1-1
2025-10-21 01:42:27 status half-configured libssh2-1t64:amd64 1.11.1-1
2025-10-21 01:42:27 status installed libssh2-1t64:amd64 1.11.1-1
2025-10-21 01:42:27 configure openssl:amd64 3.5.1-1+deb13u1 <none>
2025-10-21 01:42:27 status unpacked openssl:amd64 3.5.1-1+deb13u1
2025-10-21 01:42:27 status half-configured openssl:amd64 3.5.1-1+deb13u1
2025-10-21 01:42:27 status installed openssl:amd64 3.5.1-1+deb13u1
2025-10-21 01:42:27 configure readline-common:all 8.2-6 <none>
2025-10-21 01:42:27 status unpacked readline-common:all 8.2-6
2025-10-21 01:42:27 status half-configured readline-common:all 8.2-6
2025-10-21 01:42:27 status installed readline-common:all 8.2-6
2025-10-21 01:42:27 configure libldap2:amd64 2.6.10+dfsg-1 <none>
2025-10-21 01:42:27 status unpacked libldap2:amd64 2.6.10+dfsg-1
2025-10-21 01:42:27 status half-configured libldap2:amd64 2.6.10+dfsg-1
2025-10-21 01:42:27 status installed libldap2:amd64 2.6.10+dfsg-1
2025-10-21 01:42:27 configure libksba8:amd64 1.6.7-2+b1 <none>
2025-10-21 01:42:27 status unpacked libksba8:amd64 1.6.7-2+b1
2025-10-21 01:42:27 status half-configured libksba8:amd64 1.6.7-2+b1
2025-10-21 01:42:27 status installed libksba8:amd64 1.6.7-2+b1
2025-10-21 01:42:27 configure pinentry-curses:amd64 1.3.1-2 <none>
2025-10-21 01:42:27 status unpacked pinentry-curses:amd64 1.3.1-2
2025-10-21 01:42:27 status half-configured pinentry-curses:amd64 1.3.1-2
2025-10-21 01:42:27 status installed pinentry-curses:amd64 1.3.1-2
2025-10-21 01:42:27 configure libidn2-0:amd64 2.3.8-2 <none>
2025-10-21 01:42:27 status unpacked libidn2-0:amd64 2.3.8-2
2025-10-21 01:42:28 status half-configured libidn2-0:amd64 2.3.8-2
2025-10-21 01:42:28 status installed libidn2-0:amd64 2.3.8-2
2025-10-21 01:42:28 configure ca-certificates:all 20250419 <none>
2025-10-21 01:42:28 status unpacked ca-certificates:all 20250419
2025-10-21 01:42:28 status half-configured ca-certificates:all 20250419
2025-10-21 01:42:28 status installed ca-certificates:all 20250419
2025-10-21 01:42:28 status triggers-pending ca-certificates:all 20250419
2025-10-21 01:42:28 configure libp11-kit0:amd64 0.25.5-3 <none>
2025-10-21 01:42:28 status unpacked libp11-kit0:amd64 0.25.5-3
2025-10-21 01:42:28 status half-configured libp11-kit0:amd64 0.25.5-3
2025-10-21 01:42:28 status installed libp11-kit0:amd64 0.25.5-3
2025-10-21 01:42:28 configure libgssapi-krb5-2:amd64 1.21.3-5 <none>
2025-10-21 01:42:28 status unpacked libgssapi-krb5-2:amd64 1.21.3-5
2025-10-21 01:42:28 status half-configured libgssapi-krb5-2:amd64 1.21.3-5
2025-10-21 01:42:28 status installed libgssapi-krb5-2:amd64 1.21.3-5
2025-10-21 01:42:28 configure libreadline8t64:amd64 8.2-6 <none>
2025-10-21 01:42:28 status unpacked libreadline8t64:amd64 8.2-6
2025-10-21 01:42:28 status half-configured libreadline8t64:amd64 8.2-6
2025-10-21 01:42:28 status installed libreadline8t64:amd64 8.2-6
2025-10-21 01:42:28 configure gpgconf:amd64 2.4.7-21+b3 <none>
2025-10-21 01:42:28 status unpacked gpgconf:amd64 2.4.7-21+b3
2025-10-21 01:42:28 status half-configured gpgconf:amd64 2.4.7-21+b3
2025-10-21 01:42:28 status installed gpgconf:amd64 2.4.7-21+b3
2025-10-21 01:42:28 configure gpg:amd64 2.4.7-21+b3 <none>
2025-10-21 01:42:28 status unpacked gpg:amd64 2.4.7-21+b3
2025-10-21 01:42:28 status half-configured gpg:amd64 2.4.7-21+b3
2025-10-21 01:42:29 status installed gpg:amd64 2.4.7-21+b3
2025-10-21 01:42:29 configure libgnutls30t64:amd64 3.8.9-3 <none>
2025-10-21 01:42:29 status unpacked libgnutls30t64:amd64 3.8.9-3
2025-10-21 01:42:29 status half-configured libgnutls30t64:amd64 3.8.9-3
2025-10-21 01:42:29 status installed libgnutls30t64:amd64 3.8.9-3
2025-10-21 01:42:29 configure gpg-agent:amd64 2.4.7-21+b3 <none>
2025-10-21 01:42:29 status unpacked gpg-agent:amd64 2.4.7-21+b3
2025-10-21 01:42:29 status half-configured gpg-agent:amd64 2.4.7-21+b3
2025-10-21 01:42:29 status installed gpg-agent:amd64 2.4.7-21+b3
2025-10-21 01:42:29 configure gpgsm:amd64 2.4.7-21+b3 <none>
2025-10-21 01:42:29 status unpacked gpgsm:amd64 2.4.7-21+b3
2025-10-21 01:42:29 status half-configured gpgsm:amd64 2.4.7-21+b3
2025-10-21 01:42:29 status installed gpgsm:amd64 2.4.7-21+b3
2025-10-21 01:42:29 configure libpsl5t64:amd64 0.21.2-1.1+b1 <none>
2025-10-21 01:42:29 status unpacked libpsl5t64:amd64 0.21.2-1.1+b1
2025-10-21 01:42:29 status half-configured libpsl5t64:amd64 0.21.2-1.1+b1
2025-10-21 01:42:29 status installed libpsl5t64:amd64 0.21.2-1.1+b1
2025-10-21 01:42:29 configure dirmngr:amd64 2.4.7-21+b3 <none>
2025-10-21 01:42:29 status unpacked dirmngr:amd64 2.4.7-21+b3
2025-10-21 01:42:29 status half-configured dirmngr:amd64 2.4.7-21+b3
2025-10-21 01:42:29 status installed dirmngr:amd64 2.4.7-21+b3
2025-10-21 01:42:29 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5 <none>
2025-10-21 01:42:29 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
